,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
113,16769,WIGGONHOLT,wiggonholt,west-sussex,50.938,-0.494,28,2011,2020,POINT (-0.494 50.938),90,384005.20864572836,4.02,6.01
114,18903,SOUTH UIST RANGE,south-uist-range,western-isles,57.358,-7.385,4,1996,2020,POINT (-7.385 57.358),9,442982.059709061,2.07,2.38
115,19187,COLESHILL,coleshill,warwickshire,52.48,-1.691,96,1997,2020,POINT (-1.691 52.48),90,199287.04969741238,4.49,4.53
116,19203,BRIDGEFOOT,bridgefoot,cumbria,54.649,-3.459,49,2010,2020,POINT (-3.459 54.649),2,3800.2995913464224,4.96,10.7
117,19204,GRINGLEY-ON-THE-HILL,gringley-on-the-hill,nottinghamshire,53.406,-0.884,68,2010,2020,POINT (-0.884 53.406),90,157914.58926496745,5.79,11.38
119,19260,"EDINBURGH, GOGARBANK",edinburgh-gogarbank,midlothian-in-lothian-region,55.928,-3.344,57,1998,2020,POINT (-3.344 55.928),19,68897.18747925972,5.41,6.4
120,61986,TIBENHAM AIRFIELD,tibenham-airfield,norfolk,52.457,1.162,52,2015,2020,POINT (1.162 52.457),90,379956.79460653034,1.58,3.25
121,13343,LOGAN BOTANIC GARDEN,logan-botanic-garden,wigtownshire,54.743,-4.959,27,2012,2020,POINT (-4.959 54.743),6,145296.49566545532,6.21,12.03
123,30476,HOUGHTON HALL,houghton-hall,norfolk,52.824,0.652,65,2010,2020,POINT (0.652 52.824),90,317344.8785973235,2.92,3.94
124,14093,ACHNAGART,achnagart,ross-and-cromarty,57.181,-5.375,15,2012,2020,POINT (-5.375 57.181),9,270068.11371799844,14.79,18.65
125,30750,RAVENSWORTH,ravensworth,north-yorkshire,54.472,-1.785,120,2010,2020,POINT (-1.785 54.472),91,29364.009506357568,7.45,6.77
127,55827,BRAEMAR NO 2,braemar-no-2,aberdeenshire,57.011,-3.397,327,2005,2020,POINT (-3.397 57.011),9,176763.09796196083,4.97,10.39
128,23417,ISLAY: PORT ELLEN,islay-port-ellen,argyll-in-strathclyde-region,55.681,-6.25,17,1998,2020,POINT (-6.25 55.681),9,279297.5502742793,4.09,4.72
129,56216,RESALLACH,resallach,sutherland,58.063,-5.016,133,2011,2020,POINT (-5.016 58.063),9,320334.51062826905,12.59,22.12
130,56424,WINTERBOURNE NO2,winterbourne-no2,west-midlands,52.456,-1.928,140,2011,2020,POINT (-1.928 52.456),90,198403.46614240826,6.3,9.9
131,56486,MONA,mona,isle-of-anglesey,53.261,-4.376,60,2009,2020,POINT (-4.376 53.261),0,147174.42907464856,4.06,4.06
132,56939,USK NO 2,usk-no-2,monmouthshire,51.714,-2.923,25,2011,2020,POINT (-2.923 51.714),30,271090.1183131311,8.35,12.62
133,56958,EMLEY MOOR NO 2,emley-moor-no-2,west-yorkshire,53.612,-1.668,267,2011,2020,POINT (-1.668 53.612),90,92068.76180318028,5.86,23.63
134,56986,"HULL, EAST PARK",hull-east-park,humberside,53.766,-0.298,2,2012,2020,POINT (-0.298 53.766),90,190563.49323859744,2.58,7.31
135,16031,CHILLINGHAM BARNS,chillingham-barns,northumberland,55.53,-1.918,70,2012,2020,POINT (-1.918 55.53),99,32833.580103282104,3.76,7.53
136,57199,ROSTHERNE NO 2,rostherne-no-2,cheshire,53.36,-2.382,35,2012,2020,POINT (-2.382 53.36),70,108431.2647434363,6.11,7.6
137,50,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1993,2020,POINT (-3.992 58.561),9,335274.7317683496,15.11,41.1
139,176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1988,2020,POINT (-2.404 57.032),79,178292.6759502834,4.19,9.46
140,181,MYLNEFIELD,mylnefield,angus,56.456,-3.07,26,1954,2020,POINT (-3.07 56.456),49,120912.00568909686,3.95,4.23
141,208,DRUMMOND CASTLE,drummond-castle,perthshire-in-tayside-region,56.338,-3.877,113,1969,2020,POINT (-3.877 56.338),9,115828.78354793262,8.09,10.71
142,226,KINROSS,kinross,kinross-shire,56.214,-3.413,116,1967,2020,POINT (-3.413 56.214),9,97127.03397587173,5.15,8.78
