ID,ID_TYPE,OB_DATE,VERSION_NUM,MET_DOMAIN_NAME ,OB_END_CTIME,OB_DAY_CNT,SRC_ID,REC_ST_IND,PRCP_AMT,OB_DAY_CNT_Q,PRCP_AMT_Q,METO_STMP_TIME,MIDAS_STMP_ETIME,PRCP_AMT_J
947811, RAIN, 1853-02-13 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-14 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-14 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-15 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-15 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-16 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-16 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-17 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-17 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-18 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-18 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-19 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-19 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-20 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-20 00:00, 1, DLY3208, 900, 1, 1530, 1001, 3.6, 0, 9, , ,
256225, RAIN, 1853-02-21 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-21 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-22 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-22 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-23 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-23 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-02-24 00:00, 1, DLY3208, 900, 1, 606, 1001, 5.6, 0, 9, , ,
947811, RAIN, 1853-02-24 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-02-25 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-25 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-26 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-26 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-02-27 00:00, 1, DLY3208, 900, 1, 606, 1001, 3.3, 0, 9, , ,
947811, RAIN, 1853-02-27 00:00, 1, DLY3208, 900, 1, 1530, 1001, .8, 0, 9, , ,
256225, RAIN, 1853-02-28 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-28 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-01 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-01 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-02 00:00, 1, DLY3208, 900, 1, 606, 1001, 2.7, 0, 9, , ,
947811, RAIN, 1853-03-02 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-03-03 00:00, 1, DLY3208, 900, 1, 606, 1001, 3.5, 0, 9, , ,
947811, RAIN, 1853-03-03 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-04 00:00, 1, DLY3208, 900, 1, 606, 1001, .2, 0, 9, , ,
947811, RAIN, 1853-03-04 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-05 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-05 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-06 00:00, 1, DLY3208, 900, 1, 606, 1001, 5.5, 0, 9, , ,
947811, RAIN, 1853-03-06 00:00, 1, DLY3208, 900, 1, 1530, 1001, 4.8, 0, 9, , ,
256225, RAIN, 1853-03-07 00:00, 1, DLY3208, 900, 1, 606, 1001, 2.7, 0, 9, , ,
947811, RAIN, 1853-03-07 00:00, 1, DLY3208, 900, 1, 1530, 1001, .8, 0, 9, , ,
256225, RAIN, 1853-03-08 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.2, 0, 9, , ,
947811, RAIN, 1853-03-08 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-03-09 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-09 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.8, 0, 9, , ,
256225, RAIN, 1853-03-10 00:00, 1, DLY3208, 900, 1, 606, 1001, .6, 0, 9, , ,
947811, RAIN, 1853-03-10 00:00, 1, DLY3208, 900, 1, 1530, 1001, 2.8, 0, 9, , ,
